trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	24	6.79	2.52	3.36	0.35	0.0	0.0	5.109999999999999	7.0	0.0	5.18
2	24	2.03	5.18	0.35	0.0	0.14	0.0	2.66	4.760000000000001	0.0	3.5
3	24	5.95	1.4	1.82	0.0	0.0	0.14	3.22	5.600000000000001	0.0	3.5
4	24	4.27	1.26	2.73	0.14	0.0	0.0	1.61	5.25	4.06	3.64
5	24	1.68	4.27	4.27	3.99	0.21	0.0	2.94	3.850000000000001	0.84	2.38
6	24	5.739999999999999	4.34	0.35	0.0	0.0	0.0	3.78	4.83	2.1	4.97
7	24	0.49	2.17	1.68	0.7000000000000001	0.98	0.63	1.82	2.59	4.62	3.22
8	24	4.34	0.91	4.55	1.4	0.0	0.0	4.69	4.899999999999999	7.0	5.109999999999999
9	24	2.31	0.63	1.82	0.28	0.7000000000000001	0.0	1.68	3.99	5.95	4.06
10	24	0.77	0.49	0.0	0.56	0.0	0.0	0.77	3.5	0.0	1.75
11	24	0.98	0.77	3.5	1.68	0.0	0.0	2.1	4.34	0.0	2.94
12	24	0.28	0.35	0.0	1.12	0.98	0.84	3.01	2.17	1.47	1.33
13	24	1.19	0.0	0.0	0.49	5.390000000000001	0.84	6.3	1.96	0.0	5.18
14	24	1.19	0.0	4.34	5.67	0.0	0.14	3.71	2.31	6.510000000000001	3.5
15	24	0.42	0.0	0.77	0.21	4.27	0.84	3.92	1.75	0.0	4.34
16	24	0.14	0.28	0.0	0.28	4.62	0.21	2.87	0.98	1.68	2.38
17	24	0.14	0.0	0.98	0.28	0.0	0.0	0.98	3.5	0.0	3.5
18	24	0.28	4.55	0.0	0.0	0.49	0.98	1.68	4.2	0.0	2.8
19	24	0.42	4.97	2.24	1.19	0.56	0.0	1.12	4.27	0.42	3.43
20	24	3.57	1.19	2.87	0.0	0.0	0.0	2.31	4.41	0.7000000000000001	5.04
21	24	0.63	0.28	0.49	0.0	0.0	0.42	0.14	3.92	0.0	2.66
22	24	1.4	3.78	0.0	0.0	0.0	0.0	2.66	4.83	1.68	4.27
23	24	0.28	0.49	3.01	2.31	0.98	0.14	1.75	2.66	6.44	4.27
24	24	2.31	0.21	4.760000000000001	2.66	0.0	0.0	4.899999999999999	4.55	5.739999999999999	5.739999999999999
25	24	0.0	0.0	0.0	1.75	3.850000000000001	6.23	5.390000000000001	0.63	0.0	0.84
26	24	0.0	0.0	0.14	0.42	0.07	0.14	0.21	1.61	0.0	2.24
27	24	0.0	0.0	0.56	2.52	0.28	2.59	1.89	1.82	0.0	2.73
28	24	0.0	0.0	0.0	0.49	4.2	6.02	4.760000000000001	1.82	0.63	0.77
29	24	0.0	0.0	0.42	1.61	0.42	0.0	1.4	1.47	0.0	0.0
30	24	3.5	3.5	3.5	3.5	3.5	3.5	0.0	3.5	0.0	3.5
31	24	2.66	1.33	4.13	0.35	0.0	0.0	1.54	4.48	0.49	5.109999999999999
32	24	0.63	1.4	0.0	0.0	0.0	0.0	0.84	4.13	0.28	3.5
33	24	1.96	1.33	0.77	0.0	0.0	0.0	1.54	5.25	0.49	5.81
34	24	5.53	1.05	5.88	0.0	0.28	0.0	4.83	5.32	0.0	5.25
35	24	4.899999999999999	5.53	1.12	0.63	0.0	0.0	3.5	4.83	0.0	5.32
36	24	0.98	0.0	0.0	0.0	0.0	0.98	1.19	4.97	4.27	1.12
37	24	0.0	0.0	0.0	0.35	0.0	5.32	3.29	1.26	1.96	0.42
38	24	1.82	0.0	0.0	0.0	1.19	0.0	1.89	3.5	4.34	4.34
39	24	0.0	0.0	0.0	4.13	0.0	7.0	4.48	0.0	3.57	0.0
40	24	0.0	0.0	0.0	0.84	4.27	6.37	5.109999999999999	0.7000000000000001	0.14	0.0
41	24	0.0	0.0	0.0	0.0	5.739999999999999	0.7000000000000001	3.43	1.96	0.0	2.45
42	24	0.0	0.0	0.0	0.0	3.850000000000001	4.97	4.27	1.4	0.0	0.0
