onset	duration	stim_type	trial_type
0.0016666666666666	0.0	5	n/a
0.0016666666666666	0.0	6	n/a
0.0016666666666666	0.0	11	n/a
0.0016666666666666	0.0	10	vid
321.9966666666667	0.0	5	n/a
509.4616666666666	0.0	8	rating
691.7133333333334	0.0	8	rating
772.4666666666667	0.0	6	n/a
880.655	0.0	9	ima
970.6133333333332	0.0	8	rating
1085.335	0.0	9	ima
1158.69	0.0	8	rating
1259.453333333333	0.0	9	ima
1331.766666666667	0.0	7	fade
1335.206666666667	0.0	7	fade
1339.766666666667	0.0	7	fade
1342.465	0.0	8	rating
1631.238333333333	0.0	10	vid
1747.896666666667	0.0	8	rating
1855.548333333333	0.0	10	vid
1977.365	0.0	8	rating
2070.84	0.0	10	vid
2171.466666666667	0.0	8	rating
2515.925	0.0	9	ima
2625.96	0.0	8	rating
2981.698333333333	0.0	9	ima
3058.55	0.0	8	rating
3319.411666666667	0.0	9	ima
3379.92	0.0	7	fade
3395.823333333333	0.0	8	rating
3622.126666666667	0.0	10	vid
3731.661666666667	0.0	8	rating
3895.963333333333	0.0	10	vid
3987.415	0.0	8	rating
4061.7	0.0	10	vid
4308.645	0.0	8	rating
4658.893333333333	0.0	9	ima
4709.275	0.0	8	rating
4805.545	0.0	9	ima
4844.345	0.0	7	fade
4851.928333333333	0.0	8	rating
4965.983333333334	0.0	9	ima
5011.328333333333	0.0	8	rating
5320.121666666667	0.0	10	vid
5432.14	0.0	8	rating
5499.503333333333	0.0	10	vid
5605.943333333334	0.0	8	rating
5673.123333333333	0.0	10	vid
5777.805	0.0	8	rating
5992.663333333333	0.0	9	ima
6058.466666666666	0.0	7	fade
6069.765	0.0	8	rating
343.105	0.0	9	ima
432.1	0.0	8	rating
539.26	0.0	9	ima
608.8466666666667	0.0	7	fade
609.2833333333333	0.0	8	rating
875.5	0.0	10	vid
942.6916666666668	0.0	8	rating
1012.435	0.0	10	vid
1128.301666666667	0.0	8	rating
1255.166666666667	0.0	10	vid
1313.258333333333	0.0	8	rating
1543.153333333333	0.0	10	vid
1641.531666666667	0.0	8	rating
1713.463333333333	0.0	10	vid
1795.135	0.0	8	rating
1920.971666666667	0.0	10	vid
1993.703333333333	0.0	8	rating
2278.996666666666	0.0	9	ima
2336.535	0.0	7	fade
2339.89	0.0	8	rating
2427.213333333333	0.0	9	ima
2483.781666666667	0.0	7	fade
2489.856666666667	0.0	8	rating
2567.291666666667	0.0	9	ima
2653.02	0.0	8	rating
2852.03	0.0	10	vid
2960.071666666667	0.0	8	rating
3021.263333333333	0.0	10	vid
3132.761666666667	0.0	8	rating
3436.16	0.0	10	vid
3502.076666666667	0.0	8	rating
3768.295	0.0	9	ima
3853.518333333333	0.0	7	fade
3864.808333333333	0.0	8	rating
3941.376666666667	0.0	9	ima
4046.846666666667	0.0	7	fade
4048.588333333333	0.0	8	rating
4122.973333333333	0.0	9	ima
4189.916666666667	0.0	7	fade
4199.248333333333	0.0	8	rating
4384.661666666667	0.0	10	vid
4458.711666666667	0.0	8	rating
4525.043333333333	0.0	10	vid
4598.0	0.0	8	rating
4664.451666666667	0.0	10	vid
4748.3	0.0	8	rating
5050.45	0.0	9	ima
5111.625	0.0	7	fade
5127.975	0.0	8	rating
5220.041666666667	0.0	9	ima
5271.016666666666	0.0	7	fade
5291.32	0.0	8	rating
5363.66	0.0	9	ima
5435.958333333333	0.0	7	fade
5456.078333333333	0.0	8	rating
