trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	3	4.41	0.0	4.48	0.0	0.0	0.0	3.43	4.83	4.83	4.83
2	3	0.0	5.88	0.0	0.0	0.0	0.0	5.88	5.88	3.5	3.22
3	3	4.69	3.99	3.92	0.0	0.0	0.0	4.34	4.34	3.15	3.850000000000001
4	3	2.59	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
5	3	3.64	3.64	0.0	0.0	0.0	0.0	3.5	3.5	7.0	7.0
6	3	3.850000000000001	0.0	0.0	0.0	0.0	0.0	4.13	7.0	4.48	7.0
7	3	0.0	0.0	0.0	0.0	3.5	0.0	3.78	3.01	0.0	0.0
8	3	0.0	0.0	0.0	4.760000000000001	0.0	0.0	4.62	2.38	0.0	3.5
9	3	0.0	0.0	0.0	0.0	4.899999999999999	7.0	7.0	0.0	3.99	0.0
10	3	0.0	0.0	0.0	0.0	3.57	5.739999999999999	4.760000000000001	0.0	0.0	0.0
11	3	0.0	0.0	0.0	4.83	5.109999999999999	0.0	3.43	0.0	0.0	0.0
12	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
13	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
14	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	3.5	5.81
15	3	3.5	0.0	0.0	0.0	0.0	0.0	3.22	6.3	7.0	7.0
16	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	2.45	3.5
17	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
18	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	7.0	3.5
19	3	0.0	0.0	3.5	0.0	0.0	0.0	3.43	3.5	0.0	0.0
20	3	6.44	0.0	6.3	0.0	0.0	0.0	5.32	5.53	2.94	7.0
21	3	7.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	7.0	7.0
22	3	5.600000000000001	0.0	5.88	0.0	0.0	0.0	5.53	7.0	0.0	7.0
23	3	0.0	0.0	7.0	4.55	0.0	0.0	7.0	3.5	7.0	7.0
24	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0
25	3	0.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	0.0
26	3	0.0	0.0	2.38	0.0	7.0	5.109999999999999	7.0	0.0	0.0	0.0
27	3	3.01	0.0	0.0	0.0	0.0	0.0	3.43	3.5	7.0	1.82
28	3	0.0	0.0	0.0	0.0	7.0	7.0	7.0	0.0	0.0	0.0
29	3	0.0	0.0	0.0	0.0	3.5	0.0	3.36	1.12	0.0	0.0
30	3	0.0	0.0	0.0	0.56	0.0	0.0	1.68	1.96	0.0	1.54
31	3	0.0	5.95	0.0	0.0	0.0	0.0	4.2	6.72	3.78	3.5
32	3	0.0	6.44	0.0	3.43	0.0	0.0	5.32	3.5	3.43	3.5
33	3	7.0	0.0	3.5	0.0	0.0	0.0	5.53	7.0	7.0	3.5
34	3	5.32	7.0	0.0	0.0	0.0	0.0	4.06	4.899999999999999	0.0	n/a
35	3	0.0	4.06	0.0	0.0	0.0	0.0	3.43	3.5	0.0	3.5
36	3	6.02	0.0	6.09	0.0	0.0	0.0	3.5	6.23	7.0	7.0
37	3	0.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	0.0
38	3	0.0	0.0	0.0	0.0	0.35	0.0	0.56	3.5	7.0	4.899999999999999
39	3	0.0	0.0	0.0	1.12	1.05	0.0	1.89	0.0	0.0	0.0
40	3	0.0	0.0	0.0	0.0	7.0	7.0	7.0	0.0	0.0	0.0
41	3	0.0	0.0	0.0	0.0	7.0	0.0	7.0	0.0	0.0	0.0
42	3	0.0	0.0	0.0	3.5	0.28	0.07	3.5	0.0	0.0	1.82
