onset	duration	stim_type	trial_type
357.5283333333333	0.0	11	n/a
534.095	0.0	13	fade
543.5283333333333	0.0	14	rating
716.9566666666667	0.0	14	rating
761.62	0.0	12	n/a
869.7133333333334	0.0	15	ima
953.55	0.0	13	fade
966.2483333333332	0.0	14	rating
1053.953333333333	0.0	15	ima
1133.036666666667	0.0	13	fade
1135.325	0.0	13	fade
1136.995	0.0	14	rating
1229.128333333333	0.0	15	ima
1287.548333333333	0.0	13	fade
1299.485	0.0	13	fade
1306.233333333333	0.0	14	rating
1497.945	0.0	16	vid
1606.073333333333	0.0	14	rating
1664.905	0.0	16	vid
1765.591666666667	0.0	14	rating
1803.713333333333	0.0	16	vid
1870.888333333333	0.0	14	rating
2010.005	0.0	16	vid
2108.431666666667	0.0	14	rating
2145.418333333334	0.0	16	vid
2236.863333333333	0.0	14	rating
2274.633333333333	0.0	16	vid
2384.171666666667	0.0	14	rating
2613.58	0.0	15	ima
2666.263333333333	0.0	13	fade
2674.556666666667	0.0	14	rating
2752.183333333333	0.0	15	ima
2814.086666666667	0.0	13	fade
2828.993333333333	0.0	14	rating
2900.326666666667	0.0	15	ima
2991.11	0.0	13	fade
3010.34	0.0	14	rating
3317.813333333334	0.0	15	ima
3373.828333333333	0.0	13	fade
3391.208333333333	0.0	14	rating
3470.415	0.0	15	ima
3555.7	0.0	13	fade
3577.621666666666	0.0	14	rating
3652.835	0.0	15	ima
3712.611666666667	0.0	13	fade
3729.183333333333	0.0	14	rating
3928.078333333333	0.0	16	vid
4049.84	0.0	14	rating
4079.74	0.0	16	vid
4191.283333333334	0.0	14	rating
4219.72	0.0	16	vid
4285.678333333333	0.0	14	rating
4529.053333333333	0.0	15	ima
4553.263333333333	0.0	13	fade
4574.456666666667	0.0	14	rating
4647.095	0.0	15	ima
4679.023333333334	0.0	13	fade
4693.435	0.0	14	rating
4770.746666666667	0.0	15	ima
4810.35	0.0	13	fade
4819.918333333333	0.0	13	fade
4821.16	0.0	14	rating
5005.63	0.0	16	vid
5110.33	0.0	14	rating
5141.971666666666	0.0	16	vid
5248.46	0.0	14	rating
5274.086666666667	0.0	16	vid
5386.161666666667	0.0	14	rating
270.1283333333333	0.0	16	vid
351.8033333333333	0.0	14	rating
381.5816666666666	0.0	16	vid
626.5633333333334	0.0	14	rating
667.5266666666666	0.0	16	vid
741.6616666666666	0.0	14	rating
988.2366666666668	0.0	15	ima
1028.051666666667	0.0	13	fade
1050.883333333333	0.0	14	rating
1125.868333333333	0.0	15	ima
1179.651666666667	0.0	13	fade
1179.891666666667	0.0	13	fade
1180.066666666667	0.0	13	fade
1202.27	0.0	14	rating
1310.921666666667	0.0	15	ima
1368.69	0.0	13	fade
1388.463333333333	0.0	14	rating
1681.408333333333	0.0	15	ima
1753.376666666667	0.0	13	fade
1766.768333333333	0.0	13	fade
1771.336666666667	0.0	14	rating
1851.858333333333	0.0	15	ima
1920.863333333333	0.0	13	fade
1940.826666666667	0.0	14	rating
2016.196666666667	0.0	15	ima
2063.663333333333	0.0	13	fade
2086.265	0.0	14	rating
2268.551666666667	0.0	16	vid
2385.245	0.0	14	rating
2408.635	0.0	16	vid
2524.53	0.0	14	rating
2560.556666666667	0.0	16	vid
2618.681666666667	0.0	14	rating
2777.333333333333	0.0	16	vid
2850.063333333334	0.0	14	rating
2909.785	0.0	16	vid
2982.803333333333	0.0	14	rating
3009.138333333333	0.0	16	vid
3092.998333333333	0.0	14	rating
3329.64	0.0	15	ima
3394.648333333334	0.0	13	fade
3415.378333333334	0.0	14	rating
3496.686666666666	0.0	15	ima
3541.751666666667	0.0	13	fade
3543.88	0.0	13	fade
3568.031666666667	0.0	14	rating
3642.833333333333	0.0	15	ima
3715.063333333334	0.0	13	fade
3735.253333333334	0.0	14	rating
