trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	24	5.390000000000001	0.0	0.0	0.0	0.0	0.0	4.69	3.5	3.36	6.02
2	24	5.18	0.0	6.859999999999999	0.0	0.0	0.0	5.04	7.0	4.62	7.0
3	24	2.17	7.0	0.0	0.0	0.0	0.0	2.38	5.18	0.0	3.5
4	24	5.53	0.0	6.510000000000001	0.0	0.0	0.0	6.02	7.0	5.53	7.0
5	24	5.04	3.99	7.0	0.0	0.0	0.0	7.0	7.0	7.0	7.0
6	24	2.1	7.0	0.0	0.0	0.0	0.0	3.5	4.34	1.54	4.2
7	24	0.0	0.0	0.0	6.72	7.0	0.0	7.0	0.0	7.0	4.69
8	24	0.0	0.0	0.0	0.0	0.0	5.32	3.57	2.17	0.0	1.54
9	24	0.0	0.0	0.0	5.88	0.0	0.0	3.43	1.89	3.64	3.5
10	24	0.0	0.0	0.0	0.0	7.0	0.0	5.25	1.47	3.5	3.5
11	24	0.0	0.0	0.0	4.97	5.04	7.0	7.0	0.0	5.04	0.0
12	24	0.0	0.0	0.0	6.859999999999999	0.0	0.0	3.57	1.4	1.4	2.45
13	24	6.16	0.0	4.760000000000001	0.0	0.0	0.0	5.600000000000001	5.600000000000001	5.67	5.600000000000001
14	24	5.390000000000001	0.0	0.0	0.0	0.0	0.0	4.62	5.25	5.32	4.27
15	24	7.0	0.0	0.0	0.0	0.0	0.0	6.16	5.600000000000001	7.0	6.58
16	24	4.97	0.0	7.0	0.0	0.0	0.0	2.1	5.46	1.96	4.760000000000001
17	24	4.83	5.32	5.739999999999999	0.0	0.0	0.0	4.760000000000001	6.859999999999999	4.34	7.0
18	24	5.67	0.14	0.0	0.0	0.0	0.0	3.5	5.25	1.96	4.48
19	24	0.0	0.0	0.0	7.0	5.739999999999999	0.0	6.58	0.0	4.760000000000001	0.0
20	24	0.0	0.0	0.0	0.0	0.0	5.390000000000001	3.5	3.5	2.45	0.0
21	24	0.0	0.0	0.0	0.0	5.739999999999999	5.600000000000001	5.18	0.84	4.97	0.0
22	24	0.0	0.0	0.0	5.81	0.0	0.0	4.34	0.0	1.75	1.54
23	24	0.0	0.0	0.0	0.0	0.0	5.53	2.94	1.82	4.48	0.0
24	24	0.0	0.0	0.0	4.69	7.0	0.0	5.81	0.0	4.48	0.0
25	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
26	24	1.68	0.0	0.0	0.0	0.0	0.0	1.61	3.5	3.57	4.62
27	24	0.0	0.0	0.0	0.0	0.0	0.0	1.54	3.5	7.0	4.899999999999999
28	24	0.0	0.0	0.0	0.0	0.0	0.0	1.26	3.5	3.5	3.5
29	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
30	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
31	24	0.0	7.0	0.0	0.0	0.0	0.0	3.64	3.5	1.96	3.99
32	24	3.5	0.0	4.97	0.0	0.0	0.0	3.5	4.83	4.69	5.67
33	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	3.5
34	24	4.2	5.25	0.0	0.0	0.0	0.0	3.64	4.62	5.04	7.0
35	24	5.04	0.0	5.32	0.0	0.0	0.0	3.64	5.46	4.69	5.390000000000001
36	24	4.899999999999999	7.0	0.0	0.0	0.0	0.0	4.760000000000001	4.760000000000001	3.36	5.04
37	24	0.0	0.0	0.0	0.0	4.760000000000001	0.0	3.5	1.68	4.48	1.47
38	24	0.0	0.0	0.0	0.0	5.53	7.0	3.43	0.0	2.31	0.0
39	24	0.0	0.0	0.0	5.04	0.0	0.0	3.57	1.96	4.899999999999999	3.5
40	24	0.0	0.07	0.0	0.0	7.0	0.0	5.18	0.0	5.53	3.5
41	24	0.0	0.0	0.0	0.0	0.0	5.25	4.48	1.19	3.36	0.0
42	24	0.0	0.0	0.0	3.92	0.0	3.78	1.82	1.26	0.0	3.5
