session	channel	trial
ima	58,64	1
ima	58,64	2
ima	58,64	3
ima	58,64	4
ima	58,64	5
ima	58,64	6
ima	58,64	7
ima	58,64	8
ima	58,64	9
ima	58,64	10
ima	58,64	11
ima	58,64	12
ima	58,64	13
ima	58,64	14
ima	58,64	15
ima	58,64	16
ima	58,64	17
ima	58,64	18
ima	58,64	19
ima	58,64	20
ima	58,64	21
vid	58,64	1
vid	58,64	2
vid	58,64	3
vid	58,64	4
vid	58,64	5
vid	58,64	6
vid	58,64	7
vid	58,64	8
vid	58,64	9
vid	58,64	10
vid	58,64	11
vid	58,64	12
vid	58,64	13
vid	58,64	14
vid	58,64	15
vid	58,64	16
vid	58,64	17
vid	58,64	18
vid	58,64	19
vid	58,64	20
vid	58,64	21
