onset	duration	stim_type	trial_type
0.0016666666666666	0.0	2	n/a
352.4183333333334	0.0	1	n/a
542.1033333333334	0.0	4	rating
745.1916666666667	0.0	4	rating
792.3966666666666	0.0	2	n/a
900.1283333333333	0.0	5	ima
964.1266666666668	0.0	3	fade
970.035	0.0	4	rating
1081.08	0.0	5	ima
1154.31	0.0	4	rating
1251.783333333333	0.0	5	ima
1328.713333333333	0.0	4	rating
1541.428333333333	0.0	6	vid
1599.468333333333	0.0	4	rating
1692.908333333333	0.0	6	vid
1814.688333333333	0.0	4	rating
1898.851666666667	0.0	6	vid
1965.991666666667	0.0	4	rating
2138.125	0.0	6	vid
2229.501666666667	0.0	4	rating
2295.715	0.0	6	vid
2377.238333333333	0.0	4	rating
2448.761666666667	0.0	6	vid
2699.985	0.0	4	rating
2960.25	0.0	5	ima
3036.938333333334	0.0	4	rating
3111.196666666667	0.0	5	ima
3173.671666666667	0.0	4	rating
3248.201666666667	0.0	5	ima
3324.543333333334	0.0	4	rating
3590.285	0.0	5	ima
3635.475	0.0	4	rating
3722.816666666667	0.0	5	ima
3768.956666666666	0.0	4	rating
3853.695	0.0	5	ima
3903.901666666667	0.0	4	rating
4078.693333333333	0.0	6	vid
4183.315	0.0	4	rating
4246.128333333333	0.0	6	vid
4352.495	0.0	4	rating
4411.658333333334	0.0	6	vid
4523.635	0.0	4	rating
4686.281666666667	0.0	5	ima
4769.185	0.0	4	rating
4850.253333333333	0.0	5	ima
4946.618333333333	0.0	4	rating
5019.675	0.0	5	ima
5095.778333333334	0.0	4	rating
5272.56	0.0	6	vid
5373.111666666667	0.0	4	rating
5432.301666666666	0.0	6	vid
5540.266666666666	0.0	4	rating
5600.661666666667	0.0	6	vid
5666.486666666667	0.0	4	rating
5827.958333333333	0.0	6	vid
5937.391666666666	0.0	4	rating
5995.868333333333	0.0	6	vid
6079.596666666666	0.0	4	rating
6142.203333333333	0.0	6	vid
6215.06	0.0	4	rating
6470.318333333334	0.0	5	ima
6580.193333333334	0.0	4	rating
6668.475	0.0	5	ima
6760.75	0.0	4	rating
342.2483333333333	0.0	5	ima
413.3833333333333	0.0	4	rating
698.7683333333333	0.0	5	ima
787.57	0.0	4	rating
871.705	0.0	5	ima
978.7583333333332	0.0	4	rating
1073.256666666667	0.0	5	ima
1162.965	0.0	4	rating
1355.531666666667	0.0	6	vid
1471.27	0.0	4	rating
1538.933333333333	0.0	6	vid
1650.318333333333	0.0	4	rating
1728.151666666667	0.0	6	vid
1844.706666666667	0.0	4	rating
1998.543333333333	0.0	6	vid
2071.155	0.0	4	rating
2145.943333333333	0.0	6	vid
2244.246666666666	0.0	4	rating
2309.365	0.0	6	vid
2383.355	0.0	4	rating
2648.178333333333	0.0	5	ima
2733.686666666666	0.0	4	rating
2825.328333333333	0.0	5	ima
2886.036666666667	0.0	4	rating
2959.835	0.0	5	ima
3037.253333333334	0.0	4	rating
