onset	duration	stim_type	trial_type
0.0016666666666666	0.0	2	n/a
371.2283333333334	0.0	1	n/a
558.365	0.0	4	rating
747.485	0.0	4	rating
818.5216666666666	0.0	2	n/a
826.42	0.0	6	vid
892.22	0.0	4	rating
949.2283333333334	0.0	6	vid
1065.85	0.0	4	rating
1118.185	0.0	6	vid
1185.293333333333	0.0	4	rating
1484.456666666667	0.0	5	ima
1552.965	0.0	3	fade
1560.613333333333	0.0	4	rating
1639.343333333333	0.0	5	ima
1713.806666666667	0.0	3	fade
1716.61	0.0	3	fade
1729.128333333333	0.0	4	rating
1825.9	0.0	5	ima
1888.246666666667	0.0	3	fade
1902.828333333333	0.0	4	rating
2228.018333333333	0.0	5	ima
2304.3	0.0	4	rating
2392.646666666667	0.0	5	ima
2473.488333333333	0.0	3	fade
2484.945	0.0	4	rating
2577.461666666667	0.0	5	ima
2673.25	0.0	3	fade
2687.308333333333	0.0	4	rating
2906.63	0.0	6	vid
3169.185	0.0	4	rating
3217.928333333333	0.0	6	vid
3301.703333333333	0.0	4	rating
3368.896666666667	0.0	6	vid
3478.43	0.0	4	rating
3671.643333333333	0.0	6	vid
3779.66	0.0	4	rating
3836.535	0.0	6	vid
3937.12	0.0	4	rating
3979.315	0.0	6	vid
4095.166666666667	0.0	4	rating
17.73833333333333	0.0	2	n/a
64.96	0.0	3	fade
68.28666666666666	0.0	3	fade
94.32166666666669	0.0	4	rating
103.125	0.0	2	n/a
210.2483333333333	0.0	5	ima
281.875	0.0	3	fade
294.2016666666667	0.0	3	fade
299.6466666666666	0.0	3	fade
306.6016666666667	0.0	4	rating
382.9866666666667	0.0	5	ima
445.6966666666667	0.0	3	fade
465.8483333333334	0.0	4	rating
538.865	0.0	5	ima
613.3683333333333	0.0	3	fade
627.7333333333333	0.0	4	rating
1030.126666666667	0.0	5	ima
1105.576666666667	0.0	3	fade
1115.691666666667	0.0	4	rating
1197.255	0.0	5	ima
1239.283333333333	0.0	3	fade
1257.993333333333	0.0	4	rating
1332.651666666667	0.0	5	ima
1386.201666666667	0.0	3	fade
1409.325	0.0	4	rating
1605.78	0.0	6	vid
1678.398333333333	0.0	4	rating
1718.025	0.0	6	vid
1816.355	0.0	4	rating
1875.606666666667	0.0	6	vid
1966.958333333333	0.0	4	rating
2343.561666666666	0.0	5	ima
2440.148333333334	0.0	3	fade
2450.653333333333	0.0	4	rating
2524.068333333333	0.0	5	ima
2577.998333333333	0.0	3	fade
2597.301666666667	0.0	4	rating
2666.043333333334	0.0	5	ima
2721.123333333333	0.0	3	fade
2735.916666666667	0.0	4	rating
2917.893333333333	0.0	6	vid
3029.336666666667	0.0	4	rating
3060.373333333333	0.0	6	vid
3182.155	0.0	4	rating
3231.053333333333	0.0	6	vid
3289.075	0.0	4	rating
3623.393333333333	0.0	5	ima
3682.091666666667	0.0	3	fade
3700.815	0.0	4	rating
3778.621666666666	0.0	5	ima
3824.176666666667	0.0	3	fade
3841.105	0.0	4	rating
3913.456666666666	0.0	5	ima
3960.181666666667	0.0	3	fade
3984.575	0.0	4	rating
4199.436666666666	0.0	6	vid
4273.413333333333	0.0	4	rating
4319.413333333333	0.0	6	vid
4401.016666666666	0.0	4	rating
4432.126666666667	0.0	6	vid
4505.041666666667	0.0	4	rating
4780.06	0.0	5	ima
4826.303333333333	0.0	4	rating
5056.28	0.0	5	ima
5086.49	0.0	3	fade
5106.486666666667	0.0	4	rating
5175.363333333334	0.0	5	ima
5197.358333333334	0.0	3	fade
5220.523333333334	0.0	4	rating
5416.271666666667	0.0	6	vid
5522.663333333333	0.0	4	rating
5549.583333333333	0.0	6	vid
5661.49	0.0	4	rating
5683.675	0.0	6	vid
5788.268333333333	0.0	4	rating
