trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	13	0.0	0.0	0.0	3.5	6.93	0.0	7.0	0.0	0.0	0.0
2	18	0.0	0.0	0.0	1.89	0.0	7.0	7.0	0.0	5.25	0.0
3	12	3.5	1.61	2.59	1.61	3.5	0.0	3.5	3.5	3.5	3.5
4	34	0.0	0.0	0.98	0.0	7.0	4.62	7.0	0.0	3.5	0.0
5	39	1.61	0.63	4.13	0.0	0.0	0.91	4.41	3.5	2.1	3.5
6	33	0.0	0.0	0.0	4.62	0.0	0.56	3.5	3.5	0.98	3.5
7	21	0.0	1.33	0.0	0.0	0.0	0.0	0.98	3.5	0.98	3.5
8	19	0.0	3.5	0.0	0.0	1.33	0.0	1.4	3.5	0.7000000000000001	3.5
9	20	4.62	4.62	4.97	0.0	0.0	0.0	3.5	4.97	4.97	5.95
10	42	0.0	5.18	0.0	0.0	0.0	0.0	3.5	3.99	5.25	3.5
11	40	3.5	4.62	2.31	0.0	0.0	0.0	4.760000000000001	5.32	7.0	5.67
12	41	3.850000000000001	4.69	5.88	0.0	0.0	0.0	4.34	5.18	1.96	5.18
13	5	5.04	6.09	6.09	1.05	0.0	0.0	5.04	6.58	5.67	7.0
14	2	6.37	4.62	7.0	1.05	0.21	0.0	4.97	7.0	6.58	6.72
15	9	5.390000000000001	5.109999999999999	6.3	0.21	0.0	0.0	4.69	6.23	1.26	6.649999999999999
16	26	4.13	5.600000000000001	4.13	0.56	0.0	0.0	4.13	5.739999999999999	3.5	5.739999999999999
17	23	6.16	4.2	5.18	0.56	0.0	0.21	5.46	4.83	6.23	6.859999999999999
18	30	4.48	4.13	6.72	6.23	0.0	0.28	5.81	5.88	5.95	5.600000000000001
19	36	0.0	0.0	0.0	0.0	6.44	5.25	6.859999999999999	0.14	3.5	0.7000000000000001
20	31	5.32	1.82	0.7000000000000001	5.81	0.0	0.49	5.18	3.5	5.600000000000001	5.88
21	35	1.54	1.89	0.49	0.0	6.44	0.0	6.649999999999999	2.24	4.27	1.12
22	15	2.73	4.48	0.84	0.14	3.99	0.0	5.88	3.5	6.16	5.32
23	10	0.0	1.12	0.0	2.52	0.0	0.0	2.17	2.31	1.19	3.5
24	14	0.0	4.83	0.0	0.0	5.25	4.48	4.899999999999999	2.66	2.24	2.24
25	25	2.38	5.25	1.96	4.2	0.0	0.0	4.13	4.41	3.5	4.899999999999999
26	22	6.44	3.99	5.18	0.0	0.0	2.31	6.09	5.46	6.58	4.55
27	29	6.649999999999999	6.649999999999999	7.0	0.0	0.0	0.0	6.79	6.859999999999999	6.44	6.859999999999999
28	4	4.62	6.3	5.600000000000001	0.84	0.0	0.0	5.18	5.88	3.5	6.3
29	1	7.0	7.0	6.09	0.21	0.0	0.0	7.0	7.0	7.0	7.0
30	8	4.55	5.46	7.0	0.35	0.0	0.0	6.72	7.0	5.88	7.0
31	16	0.0	1.82	0.0	4.62	3.5	6.58	7.0	0.77	4.41	0.0
32	17	0.0	0.0	0.0	4.83	0.56	7.0	7.0	0.0	3.5	0.0
33	11	0.0	0.0	1.26	7.0	5.95	0.0	6.44	0.0	1.82	0.42
34	37	5.18	4.97	1.12	0.0	0.0	2.1	4.760000000000001	2.73	3.5	4.62
35	38	0.0	1.82	0.0	1.05	4.06	6.58	5.32	1.12	4.27	1.4
36	32	0.0	1.05	1.54	3.99	0.0	0.49	2.1	1.75	0.0	3.5
37	24	6.44	3.850000000000001	2.1	4.69	0.0	0.0	5.04	4.55	3.5	5.25
38	27	3.5	6.02	4.97	0.28	0.0	0.28	5.739999999999999	5.18	5.04	6.16
39	28	4.97	6.02	6.58	4.2	0.0	0.0	4.83	5.46	3.99	6.72
40	3	5.67	6.23	5.739999999999999	0.56	0.0	0.0	6.02	6.58	6.44	6.649999999999999
41	6	2.59	6.37	3.78	0.49	0.42	0.0	4.62	5.04	3.5	4.48
42	7	4.899999999999999	5.04	5.95	0.0	0.0	0.0	4.13	4.48	3.5	4.69
