trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	8	4.62	4.27	5.600000000000001	0.84	0.0	0.0	3.92	4.55	5.81	5.81
2	7	6.02	4.83	4.760000000000001	0.0	0.0	0.0	3.92	5.46	6.02	7.0
3	2	6.16	6.58	5.739999999999999	0.0	0.0	0.0	6.3	6.02	4.760000000000001	5.739999999999999
4	29	5.18	4.55	6.09	2.52	0.0	0.0	4.06	4.899999999999999	5.32	4.69
5	28	4.27	4.2	5.32	2.03	0.0	0.0	3.29	3.5	4.34	5.109999999999999
6	23	5.390000000000001	4.34	2.94	0.0	0.0	0.0	2.52	4.62	6.09	7.0
7	38	0.0	0.0	0.0	0.0	4.69	7.0	7.0	0.35	0.0	0.0
8	33	0.0	2.8	0.0	6.859999999999999	4.899999999999999	3.5	3.64	0.21	3.22	0.0
9	31	4.41	3.5	2.38	5.25	0.0	0.0	3.78	2.66	4.2	0.98
10	17	0.0	2.03	0.0	0.0	5.739999999999999	7.0	3.36	0.0	0.0	0.0
11	12	0.0	0.91	0.0	7.0	5.81	0.0	3.5	0.0	2.1	0.0
12	10	0.0	0.91	0.0	5.88	1.68	0.0	3.36	0.84	2.94	0.0
13	3	7.0	5.67	4.41	0.0	0.0	0.0	4.69	7.0	5.32	7.0
14	5	3.5	5.04	3.5	0.84	0.0	0.0	3.43	4.62	3.5	3.43
15	4	2.38	4.55	1.68	0.0	0.0	0.0	3.71	5.18	3.92	3.5
16	24	2.31	0.63	0.0	0.0	0.0	0.0	1.26	3.5	3.5	3.5
17	26	2.45	3.5	0.35	0.0	0.0	0.0	3.78	5.46	4.83	4.83
18	25	4.55	6.58	0.98	0.0	0.0	0.0	5.18	6.23	4.2	5.88
19	19	3.22	3.5	0.0	0.0	0.0	0.0	1.54	3.5	3.36	3.5
20	21	1.33	1.12	0.0	0.0	0.0	0.0	1.12	3.43	4.83	3.5
21	20	1.61	0.0	0.07	0.0	0.0	0.0	1.12	3.5	6.02	5.81
22	40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	5.46	3.5
23	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	3.43	3.5
24	41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	1.82	3.5
25	34	0.0	6.510000000000001	0.0	3.5	6.93	4.760000000000001	6.37	1.61	3.43	0.0
26	37	0.0	3.5	0.0	0.0	4.13	7.0	4.69	0.0	0.0	0.0
27	36	0.0	2.66	0.0	0.0	7.0	4.97	3.15	0.0	2.94	0.0
28	13	0.0	2.24	0.0	4.899999999999999	6.09	0.28	2.24	0.0	3.5	0.0
29	16	0.0	0.0	0.0	0.0	7.0	7.0	7.0	0.0	0.0	0.0
30	15	0.0	0.0	0.0	0.0	5.81	0.0	3.850000000000001	1.54	7.0	1.05
31	27	4.899999999999999	6.02	0.77	0.0	0.0	0.0	4.41	5.81	3.29	5.04
32	30	2.45	2.24	4.62	2.24	0.0	0.0	2.45	3.43	3.57	3.36
33	22	3.5	2.17	0.0	0.0	0.0	0.0	1.68	3.5	3.64	4.899999999999999
34	6	4.41	5.390000000000001	0.35	0.0	0.0	0.0	3.64	6.44	3.78	6.23
35	9	2.87	2.73	2.66	0.0	0.0	0.0	2.17	4.13	4.62	4.899999999999999
36	1	5.04	5.32	0.0	0.0	0.0	0.0	3.64	6.09	4.48	5.88
37	18	0.0	0.0	0.0	2.38	0.0	5.88	0.0	0.0	0.0	0.0
38	14	0.0	1.68	0.0	1.12	3.57	5.739999999999999	0.0	0.0	2.59	0.0
39	11	0.0	0.0	3.5	7.0	6.09	0.0	4.83	0.0	0.0	0.0
40	39	0.0	0.91	0.0	0.0	0.7000000000000001	3.5	0.0	0.98	0.0	0.0
41	35	0.0	0.0	0.0	0.0	7.0	4.34	6.58	0.0	3.08	0.0
42	32	0.0	0.0	0.0	7.0	5.390000000000001	0.56	3.36	0.0	3.5	0.98
