trial_number	video_name	score_1	score_2	score_3	score_4	score_5	score_6	score_7	score_8	score_9	score_10
1	6	4.06	5.95	2.66	0.98	0.28	0.0	7.0	5.18	7.0	5.25
2	8	3.15	3.15	6.510000000000001	1.33	0.0	0.0	3.57	4.48	3.5	2.94
3	4	4.62	7.0	1.75	2.73	0.0	0.0	2.94	4.62	6.02	3.08
4	27	6.58	7.0	2.38	1.12	0.0	0.0	7.0	7.0	7.0	7.0
5	29	4.41	3.78	7.0	1.12	0.0	0.0	3.64	5.53	3.5	5.46
6	25	4.2	6.58	0.0	3.08	2.87	0.0	6.51	4.97	1.82	1.89
7	17	0.0	0.98	0.0	4.899999999999999	0.98	7.0	2.24	0.0	0.0	0.0
8	10	1.12	1.33	0.0	7.0	5.109999999999999	1.19	7.0	0.0	3.36	0.0
9	18	0.56	0.0	0.0	0.7000000000000001	2.03	7.0	3.08	0.0	2.66	0.0
10	38	0.0	0.0	0.0	2.31	1.96	7.0	7.0	0.0	2.45	0.0
11	31	5.04	1.33	0.0	4.27	0.0	0.91	4.27	2.1	7.0	4.69
12	39	5.390000000000001	0.7000000000000001	0.42	0.28	0.77	5.46	3.43	3.5	1.96	1.68
13	2	5.739999999999999	4.2	5.18	0.0	0.0	0.0	7.0	5.739999999999999	7.0	6.16
14	9	4.48	0.21	7.0	0.0	0.0	0.0	2.38	4.2	0.56	3.850000000000001
15	5	2.38	7.0	0.28	1.82	0.0	0.0	2.59	4.34	1.68	2.8
16	23	5.739999999999999	2.73	3.08	0.0	0.0	0.0	2.73	3.92	7.0	4.41
17	30	1.4	2.59	4.55	5.739999999999999	0.0	0.0	2.1	3.92	5.109999999999999	2.38
18	26	1.82	4.760000000000001	1.4	4.2	0.0	0.0	2.66	1.96	0.56	4.48
19	20	0.0	0.0	0.0	4.62	0.91	1.26	7.0	1.26	0.0	1.05
20	19	2.87	4.899999999999999	0.0	0.0	0.0	0.0	3.22	4.55	2.24	2.38
21	21	1.61	1.12	4.41	1.96	0.0	0.0	2.94	3.71	2.17	0.7000000000000001
22	41	0.0	0.0	0.0	1.4	0.0	4.55	1.26	0.0	7.0	0.0
23	40	4.06	4.62	0.0	0.0	0.0	0.0	5.25	4.62	4.899999999999999	4.48
24	42	4.2	6.23	0.0	0.0	0.0	0.0	4.2	5.46	7.0	5.109999999999999
25	35	1.75	1.68	4.97	1.47	6.3	0.0	4.13	1.47	5.88	4.69
26	37	1.12	0.91	0.0	1.96	1.61	6.02	5.739999999999999	1.68	5.32	1.05
27	36	1.4	0.0	0.0	0.0	7.0	0.77	5.88	1.61	3.99	1.05
28	14	2.66	0.0	0.0	1.05	5.25	0.7000000000000001	4.62	2.03	4.97	0.84
29	16	0.0	0.0	0.0	1.75	4.69	5.46	5.32	1.12	7.0	0.0
30	15	1.75	5.25	0.56	0.56	5.53	0.0	3.92	1.05	5.600000000000001	1.61
31	22	7.0	1.61	5.32	0.0	0.0	0.0	5.32	6.16	2.8	5.739999999999999
32	24	6.859999999999999	4.62	4.48	0.0	0.0	0.0	4.34	4.760000000000001	5.600000000000001	2.66
33	28	4.41	1.96	7.0	2.03	0.0	0.0	4.899999999999999	5.25	6.93	3.5
34	1	4.83	7.0	0.0	0.0	0.0	0.0	2.73	3.5	0.42	3.71
35	3	7.0	5.739999999999999	5.600000000000001	0.0	0.0	0.0	6.02	6.510000000000001	7.0	6.16
36	7	6.58	4.55	7.0	0.0	0.0	0.0	7.0	4.41	5.95	4.62
37	33	2.1	1.19	2.38	5.600000000000001	2.17	0.84	2.66	1.54	1.26	1.82
38	32	0.0	0.0	1.12	7.0	0.49	0.0	1.47	0.98	1.12	2.8
39	34	0.0	0.0	0.98	0.98	7.0	1.47	4.2	1.4	7.0	0.84
40	12	1.61	0.77	2.8	6.23	4.69	0.56	2.94	1.33	3.850000000000001	0.0
41	11	0.77	0.0	2.03	7.0	2.45	0.0	3.36	1.12	2.38	0.0
42	13	0.7000000000000001	0.0	0.0	0.63	7.0	0.91	3.99	0.0	7.0	0.0
