onset	duration	stim_type	trial_type
0.0016666666666666	0.0	2	n/a
361.4616666666666	0.0	1	n/a
361.4683333333333	0.0	1	n/a
549.1733333333333	0.0	4	rating
759.9966666666667	0.0	4	rating
803.445	0.0	2	n/a
914.8866666666668	0.0	5	ima
955.48	0.0	3	fade
961.1	0.0	4	rating
1072.625	0.0	5	ima
1102.928333333333	0.0	3	fade
1123.011666666667	0.0	4	rating
1215.391666666667	0.0	5	ima
1243.68	0.0	3	fade
1260.636666666667	0.0	4	rating
1485.651666666667	0.0	6	vid
1593.701666666667	0.0	4	rating
1680.483333333333	0.0	6	vid
1793.948333333333	0.0	4	rating
1869.38	0.0	6	vid
1975.628333333333	0.0	4	rating
2046.476666666667	0.0	6	vid
2122.726666666666	0.0	4	rating
2202.145	0.0	6	vid
2525.548333333333	0.0	4	rating
2661.845	0.0	6	vid
2744.926666666667	0.0	4	rating
2996.088333333333	0.0	5	ima
3054.081666666666	0.0	3	fade
3073.65	0.0	4	rating
3159.638333333333	0.0	5	ima
3215.156666666667	0.0	3	fade
3236.085	0.0	4	rating
3314.16	0.0	5	ima
3356.693333333333	0.0	3	fade
3376.761666666667	0.0	4	rating
3700.256666666667	0.0	5	ima
3748.198333333333	0.0	3	fade
3770.136666666667	0.0	4	rating
3861.238333333333	0.0	5	ima
3928.073333333333	0.0	3	fade
3950.261666666667	0.0	4	rating
4026.355	0.0	5	ima
4079.908333333333	0.0	3	fade
4102.658333333334	0.0	4	rating
4293.955	0.0	6	vid
4353.54	0.0	4	rating
4404.383333333333	0.0	6	vid
4522.448333333334	0.0	4	rating
4561.55	0.0	6	vid
4629.41	0.0	4	rating
4782.25	0.0	6	vid
4894.165	0.0	4	rating
4929.246666666667	0.0	6	vid
5023.133333333333	0.0	4	rating
5064.198333333334	0.0	6	vid
5149.841666666666	0.0	4	rating
5402.501666666667	0.0	5	ima
5489.921666666667	0.0	3	fade
5512.53	0.0	4	rating
187.13	0.0	5	ima
243.9133333333333	0.0	3	fade
264.0516666666667	0.0	4	rating
351.3066666666667	0.0	5	ima
423.2316666666667	0.0	3	fade
443.59	0.0	4	rating
634.8783333333333	0.0	6	vid
744.445	0.0	4	rating
775.0216666666666	0.0	6	vid
893.565	0.0	4	rating
930.1366666666668	0.0	6	vid
1043.338333333333	0.0	4	rating
1278.51	0.0	5	ima
1353.543333333333	0.0	3	fade
1374.861666666667	0.0	4	rating
1448.276666666667	0.0	5	ima
1513.416666666667	0.0	3	fade
1538.206666666667	0.0	4	rating
1616.461666666667	0.0	5	ima
1699.581666666667	0.0	3	fade
1723.741666666667	0.0	4	rating
2023.25	0.0	5	ima
2072.238333333333	0.0	3	fade
2094.723333333333	0.0	4	rating
2171.286666666667	0.0	5	ima
2208.048333333333	0.0	3	fade
2232.151666666667	0.0	4	rating
2318.785	0.0	5	ima
2379.838333333333	0.0	3	fade
2404.41	0.0	4	rating
2600.733333333333	0.0	6	vid
2675.05	0.0	4	rating
2716.016666666667	0.0	6	vid
2815.883333333333	0.0	4	rating
2849.876666666667	0.0	6	vid
2924.363333333333	0.0	4	rating
3155.903333333333	0.0	5	ima
3214.811666666666	0.0	3	fade
3238.983333333333	0.0	4	rating
3316.58	0.0	5	ima
3369.433333333333	0.0	3	fade
3393.508333333333	0.0	4	rating
3465.896666666667	0.0	5	ima
3515.021666666667	0.0	3	fade
3539.288333333333	0.0	4	rating
3718.263333333333	0.0	6	vid
3820.453333333333	0.0	4	rating
3859.978333333333	0.0	6	vid
3928.611666666667	0.0	4	rating
3964.153333333333	0.0	6	vid
4087.498333333333	0.0	4	rating
