session	channel	trial
ima	41,60	1
ima	41,60	2
ima	41,60	3
ima	41,60,61,62	4
ima	41,60	5
ima	41,60	6
ima	41,60	7
ima	41,60	8
ima	41,60	9
ima	41,60	10
ima	41,60	11
ima	41,60	12
ima	41,60,61,62	13
ima	41,60,61,62	14
ima	41,60	15
ima	41,60	16
ima	41,49,60	17
ima	41,60	18
ima	41,60	19
ima	41,49,60	20
ima	41,49,60	21
vid	41,60	1
vid	41,60	2
vid	41,60	3
vid	41,60	4
vid	41,60	5
vid	41,60	6
vid	41,60	7
vid	41,60	8
vid	41,60	9
vid	41,60	10
vid	41,60	11
vid	41,60	12
vid	41,60	13
vid	41,60	14
vid	41,60	15
vid	41,60	16
vid	41,60	17
vid	41,60	18
vid	41,60	19
vid	41,60	20
vid	41,60	21
