onset	duration	stim_type	trial_type
0.0008333333333333	0.0	2	n/a
402.3766666666667	0.0	1	n/a
588.085	0.0	4	rating
908.775	0.0	4	rating
988.2641666666668	0.0	2	n/a
997.9858333333332	0.0	6	vid
1098.488333333333	0.0	4	rating
1203.249166666667	0.0	6	vid
1319.074166666667	0.0	4	rating
1398.23	0.0	6	vid
1506.203333333333	0.0	4	rating
1686.0925	0.0	5	ima
1767.265	0.0	3	fade
1769.004166666667	0.0	4	rating
1865.940833333333	0.0	5	ima
1933.841666666667	0.0	3	fade
1936.140833333333	0.0	3	fade
1954.744166666667	0.0	4	rating
2037.316666666667	0.0	5	ima
2106.8825	0.0	3	fade
2133.6325	0.0	4	rating
2370.951666666667	0.0	5	ima
2434.625	0.0	3	fade
2447.663333333333	0.0	4	rating
2530.529166666667	0.0	5	ima
2640.4025	0.0	4	rating
2759.6675	0.0	5	ima
2826.8375	0.0	3	fade
2830.8175	0.0	4	rating
2965.903333333333	0.0	6	vid
3057.188333333334	0.0	4	rating
3180.166666666667	0.0	6	vid
3289.613333333333	0.0	4	rating
3345.028333333333	0.0	6	vid
3417.991666666667	0.0	4	rating
3596.695	0.0	5	ima
3642.9475	0.0	4	rating
3723.42	0.0	5	ima
3765.569166666667	0.0	3	fade
3773.604166666667	0.0	4	rating
3864.866666666667	0.0	5	ima
3908.175	0.0	3	fade
3910.055833333333	0.0	4	rating
4034.5325	0.0	6	vid
4140.880833333334	0.0	4	rating
4183.126666666667	0.0	6	vid
4295.025	0.0	4	rating
4386.788333333333	0.0	6	vid
4491.350833333333	0.0	4	rating
5807.923333333333	0.0	5	ima
5877.849166666667	0.0	4	rating
5967.656666666667	0.0	5	ima
6055.636666666666	0.0	3	fade
6074.719166666667	0.0	4	rating
6149.326666666667	0.0	5	ima
6203.078333333333	0.0	3	fade
6222.545833333334	0.0	4	rating
6336.291666666667	0.0	6	vid
6394.2375	0.0	4	rating
6440.3575	0.0	6	vid
6551.711666666667	0.0	4	rating
6594.159166666666	0.0	6	vid
6715.873333333333	0.0	4	rating
6809.25	0.0	6	vid
6883.218333333333	0.0	4	rating
6919.066666666667	0.0	6	vid
7168.725	0.0	4	rating
7222.850833333333	0.0	6	vid
7321.081666666667	0.0	4	rating
7519.2375	0.0	5	ima
7570.378333333333	0.0	3	fade
7596.6475	0.0	4	rating
7688.703333333333	0.0	5	ima
7751.0025	0.0	3	fade
7764.9825	0.0	4	rating
7840.219166666667	0.0	5	ima
7894.263333333333	0.0	3	fade
7900.938333333334	0.0	4	rating
8117.354166666667	0.0	5	ima
8193.515833333333	0.0	3	fade
8207.080833333333	0.0	4	rating
8283.7825	0.0	5	ima
8346.584166666667	0.0	3	fade
8359.9	0.0	4	rating
8462.010833333334	0.0	5	ima
8530.1375	0.0	3	fade
8538.945833333333	0.0	4	rating
8650.096666666666	0.0	6	vid
8766.663333333334	0.0	4	rating
8800.533333333333	0.0	6	vid
8866.295833333334	0.0	4	rating
8948.8625	0.0	6	vid
9015.9475	0.0	4	rating
9095.076666666666	0.0	6	vid
9167.651666666668	0.0	4	rating
9215.450833333334	0.0	6	vid
9297.021666666667	0.0	4	rating
9335.560833333331	0.0	6	vid
9419.305	0.0	4	rating
9600.141666666666	0.0	5	ima
9683.488333333333	0.0	3	fade
9685.719166666666	0.0	4	rating
9763.946666666669	0.0	5	ima
9813.5425	0.0	3	fade
9826.431666666667	0.0	4	rating
9898.825833333334	0.0	5	ima
9976.179166666669	0.0	3	fade
9991.116666666669	0.0	4	rating
