session	channel	trial
ima	1,41,64	1
ima	1,41,64	2
ima	1,41,64	3
ima	1,41,64	4
ima	1,41,64	5
ima	1,41,64	6
ima	1,41,64	7
ima	1,41,64	8
ima	1,41,64	9
ima	1,41,64	10
ima	1,41,64	11
ima	1,41,64	12
ima	1,41,64	13
ima	1,41,64	14
ima	1,41,64	15
ima	1,41,64	16
ima	1,41,64	17
ima	1,41,64	18
ima	1,41,64	19
ima	1,41,64	20
ima	1,41,64	21
vid	1,41,64	1
vid	1,41,64	2
vid	1,41,64	3
vid	1,41,64	4
vid	1,41,64	5
vid	1,41,64	6
vid	1,41,64	7
vid	1,41,64	8
vid	1,41,64	9
vid	1,41,64	10
vid	1,41,64	11
vid	1,41,64	12
vid	1,41,64	13
vid	1,41,64	14
vid	1,41,64	15
vid	1,41,64	16
vid	1,41,64	17
vid	1,41,64	18
vid	1,41,64	19
vid	1,41,64	20
vid	1,41,64	21
